Institution,GraduationYear,FieldOfStudy,NFQ_Level,NumGraduates
1,1,1,1,10
2,1,1,2,10
3,1,1,2,40
4,1,1,2,30
5,1,1,2,60
6,1,1,2,30
1,1,1,2,160
7,1,1,2,10
8,1,1,2,90
9,1,1,2,60
10,1,1,2,420
11,1,1,2,360
12,1,1,2,280
3,1,1,3,10
4,1,1,3,120
5,1,1,3,20
13,1,1,3,150
1,1,1,3,10
8,1,1,3,10
9,1,1,3,30
14,1,1,3,80
10,1,1,3,130
11,1,1,3,150
12,1,1,3,100
15,1,1,3,10
6,1,2,1,10
7,1,2,1,10
16,1,2,4,10
17,1,2,4,60
18,1,2,4,10
19,1,2,4,20
20,1,2,4,30
6,1,2,4,10
21,1,2,4,50
1,1,2,4,70
7,1,2,4,20
22,1,2,4,30
23,1,2,4,10
12,1,2,4,10
2,1,2,2,130
16,1,2,2,20
4,1,2,2,570
17,1,2,2,60
18,1,2,2,20
5,1,2,2,150
19,1,2,2,40
20,1,2,2,90
13,1,2,2,460
6,1,2,2,160
21,1,2,2,50
1,1,2,2,710
7,1,2,2,120
8,1,2,2,170
22,1,2,2,10
9,1,2,2,10
14,1,2,2,510
10,1,2,2,130
11,1,2,2,150
23,1,2,2,30
24,1,2,2,20
25,1,2,2,20
12,1,2,2,330
15,1,2,2,40
2,1,2,3,10
4,1,2,3,140
17,1,2,3,10
5,1,2,3,70
20,1,2,3,20
13,1,2,3,180
6,1,2,3,30
1,1,2,3,150
8,1,2,3,100
14,1,2,3,120
10,1,2,3,20
11,1,2,3,10
12,1,2,3,170
15,1,2,3,10
4,1,2,5,10
1,1,2,5,10
14,1,2,5,10
12,1,2,5,10
19,1,3,4,10
21,1,3,4,20
4,1,3,2,280
5,1,3,2,110
19,1,3,2,10
20,1,3,2,70
13,1,3,2,330
6,1,3,2,30
21,1,3,2,20
1,1,3,2,100
8,1,3,2,30
14,1,3,2,170
24,1,3,2,10
12,1,3,2,260
15,1,3,2,10
4,1,3,3,150
5,1,3,3,90
13,1,3,3,130
6,1,3,3,50
1,1,3,3,180
8,1,3,3,20
14,1,3,3,30
12,1,3,3,130
14,1,3,5,10
12,1,3,5,10
16,1,4,1,70
26,1,4,1,10
18,1,4,1,50
6,1,4,1,150
7,1,4,1,80
23,1,4,1,50
24,1,4,1,30
25,1,4,1,30
15,1,4,1,40
16,1,4,4,100
26,1,4,4,30
4,1,4,4,10
17,1,4,4,220
18,1,4,4,50
19,1,4,4,110
20,1,4,4,30
13,1,4,4,20
6,1,4,4,40
21,1,4,4,140
7,1,4,4,70
22,1,4,4,80
