STATISTIC Label,Graduation Year,Field of Study,NFQ Level,Institutions,UNIT,VALUE
Number of Graduates,2010,All fields of education,All NFQ Levels,All Institutions,Number,34570
Number of Graduates,2010,All fields of education,All NFQ Levels,National College of Art and Design,Number,160
Number of Graduates,2010,All fields of education,All NFQ Levels,Athlone IT,Number,970
Number of Graduates,2010,All fields of education,All NFQ Levels,St Angela's College of Home Economics,Number,90
Number of Graduates,2010,All fields of education,All NFQ Levels,IT Blanchardstown,Number,170
Number of Graduates,2010,All fields of education,All NFQ Levels,University College Cork,Number,3560
Number of Graduates,2010,All fields of education,All NFQ Levels,Cork IT,Number,1630
Number of Graduates,2010,All fields of education,All NFQ Levels,IT Carlow,Number,720
Number of Graduates,2010,All fields of education,All NFQ Levels,Dublin City University,Number,2000
Number of Graduates,2010,All fields of education,All NFQ Levels,Dundalk IT,Number,810
Number of Graduates,2010,All fields of education,All NFQ Levels,"Dun Laoghaire Institute of Art, Design and Technology",Number,340
Number of Graduates,2010,All fields of education,All NFQ Levels,University College Dublin,Number,4060
Number of Graduates,2010,All fields of education,All NFQ Levels,Dublin Institute of Technology,Number,2530
Number of Graduates,2010,All fields of education,All NFQ Levels,Galway-Mayo IT,Number,1060
Number of Graduates,2010,All fields of education,All NFQ Levels,"National University of Ireland, Galway",Number,3260
Number of Graduates,2010,All fields of education,All NFQ Levels,Limerick IT,Number,940
Number of Graduates,2010,All fields of education,All NFQ Levels,University of Limerick,Number,2200
Number of Graduates,2010,All fields of education,All NFQ Levels,Letterkenny IT,Number,450
Number of Graduates,2010,All fields of education,All NFQ Levels,Mater Dei Institute,Number,100
Number of Graduates,2010,All fields of education,All NFQ Levels,Maynooth University,Number,1520
Number of Graduates,2010,All fields of education,All NFQ Levels,Mary Immaculate College,Number,730
Number of Graduates,2010,All fields of education,All NFQ Levels,St. Patrick's College,Number,670
Number of Graduates,2010,All fields of education,All NFQ Levels,Royal College of Surgeons,Number,360
Number of Graduates,2010,All fields of education,All NFQ Levels,IT Sligo,Number,980
Number of Graduates,2010,All fields of education,All NFQ Levels,IT Tallaght,Number,530
Number of Graduates,2010,All fields of education,All NFQ Levels,IT Tralee,Number,410
Number of Graduates,2010,All fields of education,All NFQ Levels,Trinity College Dublin,Number,2950
Number of Graduates,2010,All fields of education,All NFQ Levels,Technological University Dublin,Number,0
Number of Graduates,2010,All fields of education,All NFQ Levels,Waterford IT,Number,1380
Number of Graduates,2010,All fields of education,NFQ Level 6,All Institutions,Number,1200
Number of Graduates,2010,All fields of education,NFQ Level 6,National College of Art and Design,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Athlone IT,Number,220
Number of Graduates,2010,All fields of education,NFQ Level 6,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,IT Blanchardstown,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 6,University College Cork,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Cork IT,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 6,IT Carlow,Number,90
Number of Graduates,2010,All fields of education,NFQ Level 6,Dublin City University,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Dundalk IT,Number,20
Number of Graduates,2010,All fields of education,NFQ Level 6,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,University College Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Dublin Institute of Technology,Number,180
Number of Graduates,2010,All fields of education,NFQ Level 6,Galway-Mayo IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,"National University of Ireland, Galway",Number,10
Number of Graduates,2010,All fields of education,NFQ Level 6,Limerick IT,Number,190
Number of Graduates,2010,All fields of education,NFQ Level 6,University of Limerick,Number,180
Number of Graduates,2010,All fields of education,NFQ Level 6,Letterkenny IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Mater Dei Institute,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Maynooth University,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Mary Immaculate College,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,St. Patrick's College,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Royal College of Surgeons,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,IT Sligo,Number,60
Number of Graduates,2010,All fields of education,NFQ Level 6,IT Tallaght,Number,70
Number of Graduates,2010,All fields of education,NFQ Level 6,IT Tralee,Number,50
Number of Graduates,2010,All fields of education,NFQ Level 6,Trinity College Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Technological University Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 6,Waterford IT,Number,110
Number of Graduates,2010,All fields of education,NFQ Level 7,All Institutions,Number,4260
Number of Graduates,2010,All fields of education,NFQ Level 7,National College of Art and Design,Number,0
