,GraduationYear,FieldofStudy,NFQLevel,Institutions,NumberofGraduates
217,2010,Education,NFQ Level 6,"National University of Ireland, Galway",10
262,2010,Education,NFQ Level 8,National College of Art and Design,10
264,2010,Education,NFQ Level 8,St Angela's College of Home Economics,40
266,2010,Education,NFQ Level 8,University College Cork,30
269,2010,Education,NFQ Level 8,Dublin City University,60
273,2010,Education,NFQ Level 8,Dublin Institute of Technology,30
275,2010,Education,NFQ Level 8,"National University of Ireland, Galway",160
276,2010,Education,NFQ Level 8,Limerick IT,10
277,2010,Education,NFQ Level 8,University of Limerick,90
279,2010,Education,NFQ Level 8,Mater Dei Institute,60
281,2010,Education,NFQ Level 8,Mary Immaculate College,420
282,2010,Education,NFQ Level 8,St. Patrick's College,360
287,2010,Education,NFQ Level 8,Trinity College Dublin,280
293,2010,Education,NFQ Level 9,St Angela's College of Home Economics,10
295,2010,Education,NFQ Level 9,University College Cork,120
298,2010,Education,NFQ Level 9,Dublin City University,20
301,2010,Education,NFQ Level 9,University College Dublin,150
304,2010,Education,NFQ Level 9,"National University of Ireland, Galway",10
306,2010,Education,NFQ Level 9,University of Limerick,10
308,2010,Education,NFQ Level 9,Mater Dei Institute,30
309,2010,Education,NFQ Level 9,Maynooth University,80
310,2010,Education,NFQ Level 9,Mary Immaculate College,130
311,2010,Education,NFQ Level 9,St. Patrick's College,150
316,2010,Education,NFQ Level 9,Trinity College Dublin,100
318,2010,Education,NFQ Level 9,Waterford IT,10
389,2010,Arts and Humanities,NFQ Level 6,Dublin Institute of Technology,10
392,2010,Arts and Humanities,NFQ Level 6,Limerick IT,10
408,2010,Arts and Humanities,NFQ Level 7,Athlone IT,10
412,2010,Arts and Humanities,NFQ Level 7,Cork IT,60
413,2010,Arts and Humanities,NFQ Level 7,IT Carlow,10
415,2010,Arts and Humanities,NFQ Level 7,Dundalk IT,20
416,2010,Arts and Humanities,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",30
418,2010,Arts and Humanities,NFQ Level 7,Dublin Institute of Technology,10
419,2010,Arts and Humanities,NFQ Level 7,Galway-Mayo IT,50
420,2010,Arts and Humanities,NFQ Level 7,"National University of Ireland, Galway",70
421,2010,Arts and Humanities,NFQ Level 7,Limerick IT,20
423,2010,Arts and Humanities,NFQ Level 7,Letterkenny IT,30
429,2010,Arts and Humanities,NFQ Level 7,IT Sligo,10
432,2010,Arts and Humanities,NFQ Level 7,Trinity College Dublin,10
436,2010,Arts and Humanities,NFQ Level 8,National College of Art and Design,130
437,2010,Arts and Humanities,NFQ Level 8,Athlone IT,20
440,2010,Arts and Humanities,NFQ Level 8,University College Cork,570
441,2010,Arts and Humanities,NFQ Level 8,Cork IT,60
442,2010,Arts and Humanities,NFQ Level 8,IT Carlow,20
443,2010,Arts and Humanities,NFQ Level 8,Dublin City University,150
444,2010,Arts and Humanities,NFQ Level 8,Dundalk IT,40
445,2010,Arts and Humanities,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",90
446,2010,Arts and Humanities,NFQ Level 8,University College Dublin,460
447,2010,Arts and Humanities,NFQ Level 8,Dublin Institute of Technology,160
448,2010,Arts and Humanities,NFQ Level 8,Galway-Mayo IT,50
449,2010,Arts and Humanities,NFQ Level 8,"National University of Ireland, Galway",710
450,2010,Arts and Humanities,NFQ Level 8,Limerick IT,120
451,2010,Arts and Humanities,NFQ Level 8,University of Limerick,170
452,2010,Arts and Humanities,NFQ Level 8,Letterkenny IT,10
453,2010,Arts and Humanities,NFQ Level 8,Mater Dei Institute,10
454,2010,Arts and Humanities,NFQ Level 8,Maynooth University,510
455,2010,Arts and Humanities,NFQ Level 8,Mary Immaculate College,130
456,2010,Arts and Humanities,NFQ Level 8,St. Patrick's College,150
458,2010,Arts and Humanities,NFQ Level 8,IT Sligo,30
459,2010,Arts and Humanities,NFQ Level 8,IT Tallaght,20
460,2010,Arts and Humanities,NFQ Level 8,IT Tralee,20
461,2010,Arts and Humanities,NFQ Level 8,Trinity College Dublin,330
463,2010,Arts and Humanities,NFQ Level 8,Waterford IT,40
465,2010,Arts and Humanities,NFQ Level 9,National College of Art and Design,10
469,2010,Arts and Humanities,NFQ Level 9,University College Cork,140
470,2010,Arts and Humanities,NFQ Level 9,Cork IT,10
472,2010,Arts and Humanities,NFQ Level 9,Dublin City University,70
474,2010,Arts and Humanities,NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",20
475,2010,Arts and Humanities,NFQ Level 9,University College Dublin,180
476,2010,Arts and Humanities,NFQ Level 9,Dublin Institute of Technology,30
478,2010,Arts and Humanities,NFQ Level 9,"National University of Ireland, Galway",150
480,2010,Arts and Humanities,NFQ Level 9,University of Limerick,100
483,2010,Arts and Humanities,NFQ Level 9,Maynooth University,120
484,2010,Arts and Humanities,NFQ Level 9,Mary Immaculate College,20
485,2010,Arts and Humanities,NFQ Level 9,St. Patrick's College,10
490,2010,Arts and Humanities,NFQ Level 9,Trinity College Dublin,170
492,2010,Arts and Humanities,NFQ Level 9,Waterford IT,10
